katakana,origin,meaning,language
アベック,abekku,avec (meaning 'with'),romantic couple,French
アフターサービス,afutā sābisu,after service,"customer service, user support, after care, service",English
アイドル,aidoru,idol,"(teen) idol, pop star",English
アイス,aisu,ice/Eis,"ice, also used as a shortened form of ice cream",English/German
アイスクリーム,aisu kurīmu,ice cream,ice cream,English
アイゼン,aizen,(Steig)eisen (meaning 'climbing iron' or 'crampon'),crampons,German
アメフト,amefuto,Ame(rican) foot(ball),American football,English
アメリカンドッグ,amerikan doggu,American dog,corn dog,English
アニメ,anime  listen (help·info),anima(tion),"animation, animated cartoons or films (although anime has been reborrowed into English with a meaning of ""Japanese animation"", in Japanese the term refers to all animation)",English
アニソン,anison,ani(me) + son(g),"an anime song, most often the theme",English
アンケート,ankēto,enquête,"questionnaire, survey",French
アンニュイ,annyui,ennui,"ennui, boredom",French
アンサー,ansā,answer,"reply to a question, solution to a problem",English
アパート,apāto,apart(ment),"apartment (US), flat (UK), though apāto are usually in small two-story wood-structure buildings, not multistory complexes as in the US usage",American English
アポ,apo,appo(intment),appointment,English
〜アップ,~appu,up(grade),"to upgrade or improve (something). Coupled with English or pseudo-English nouns that indicate what that something is; e.g., version-up: upgrade (software), buy the next-better version or model of something, improve the appearance of something; image-up: improve the image of, improve one's outward appearance; ""weight-up"": to gain weight; manner-up: improve one's manners, learn (proper/better) manners or etiquette; power-up: an object that instantly benefits or adds extra abilities to a video game character; base-up, level-up: take to the next or a higher (basic) level of quality; also base-up (frequently abbreviated bea): to raise the base wage of the workers",English
アロエ,aroe,Aloë,aloe,Dutch
アルバイト or バイト,arubaito or baito,Arbeit (meaning 'work'),part-time job,German
アールブイ,ārubui,RV,"truck, van, SUV, Recreational Vehicle　",English
アルコール,arukōru,"alcohol, álcool","alcohol, alcoholic beverage",Dutch
アウトコース,autokōsu,out course,outside,English
バーゲン,bāgen,bargain,a sale at a store,English
バイキング,baikingu,viking,"smorgasbord, buffet. It is said that this originated from the restaurant ""Imperial Viking"" in the Imperial Hotel, which was the first restaurant in Japan to serve buffet-style meals, named after the 1958 American film The Vikings.",English
バイク,baiku,bike,"a motorcycle, but not a bicycle",English
バカンス,bakansu,vacances,"holiday, vacation",French
ブックカバー,bukku kabā,book cover,dust jacket,English
バックミラー,bakku mirā,back mirror,rear-view mirror,English
バックナンバー,bakku nanbā,back number,back issue,English
バックネット,bakku netto,back net,a backstop (in baseball),English
バリアフリー,baria furī,barrier free,Accessible facilities for handicapped persons,English
バリカン,barikan,Bariquand & Marre,Hand or electric operating hair trimmer,French
